date,sku,product_name,category,brand,unit_price,sales,revenue
2022-01-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,833,166600
2022-02-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,824,164800
2022-03-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,815,163000
2022-04-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,826,165200
2022-05-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,857,171400
2022-06-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,871,174200
2022-07-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,805,161000
2022-08-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,841,168200
2022-09-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,886,177200
2022-10-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,888,177600
2022-11-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,917,183400
2022-12-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,938,187600
2023-01-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,885,177000
2023-02-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,919,183800
2023-03-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,958,191600
2023-04-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,961,192200
2023-05-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,945,189000
2023-06-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,958,191600
2023-07-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,992,198400
2023-08-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,967,193400
2023-09-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,996,199200
2023-10-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1030,206000
2023-11-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,981,196200
2023-12-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,991,198200
2024-01-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1050,210000
2024-02-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1022,204400
2024-03-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1042,208400
2024-04-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1029,205800
2024-05-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1062,212400
2024-06-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1091,218200
2024-07-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1102,220400
2024-08-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1113,222600
2024-09-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1079,215800
2024-10-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1108,221600
2024-11-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1113,222600
2024-12-01,TRD-1001,Steady Trend 1,Apparel,BrandA,200,1133,226600
2022-01-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,977,224710
2022-02-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,969,222870
2022-03-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,970,223100
2022-04-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,988,227240
2022-05-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1019,234370
2022-06-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1007,231610
2022-07-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1032,237360
2022-08-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1020,234600
2022-09-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1042,239660
2022-10-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1045,240350
2022-11-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1083,249090
2022-12-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1077,247710
2023-01-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1055,242650
2023-02-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1073,246790
2023-03-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1101,253230
2023-04-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1125,258750
2023-05-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1176,270480
2023-06-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1157,266110
2023-07-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1142,262660
2023-08-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1189,273470
2023-09-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1206,277380
2023-10-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1190,273700
2023-11-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1225,281750
2023-12-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1184,272320
2024-01-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1265,290950
2024-02-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1217,279910
2024-03-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1253,288190
2024-04-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1223,281290
2024-05-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1280,294400
2024-06-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1297,298310
2024-07-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1235,284050
2024-08-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1303,299690
2024-09-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1302,299460
2024-10-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1337,307510
2024-11-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1301,299230
2024-12-01,TRD-1002,Steady Trend 2,Apparel,BrandA,230,1395,320850
2022-01-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1096,284960
2022-02-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1105,287300
2022-03-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1101,286260
2022-04-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1167,303420
2022-05-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1197,311220
2022-06-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1131,294060
2022-07-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1165,302900
2022-08-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1218,316680
2022-09-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1219,316940
2022-10-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1197,311220
2022-11-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1239,322140
2022-12-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1273,330980
2023-01-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1234,320840
2023-02-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1286,334360
2023-03-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1315,341900
2023-04-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1301,338260
2023-05-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1294,336440
2023-06-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1341,348660
2023-07-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1325,344500
2023-08-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1417,368420
2023-09-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1336,347360
2023-10-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1386,360360
2023-11-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1429,371540
2023-12-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1391,361660
2024-01-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1383,359580
2024-02-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1400,364000
2024-03-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1420,369200
2024-04-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1441,374660
2024-05-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1472,382720
2024-06-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1486,386360
2024-07-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1515,393900
2024-08-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1522,395720
2024-09-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1478,384280
2024-10-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1567,407420
2024-11-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1529,397540
2024-12-01,TRD-1003,Steady Trend 3,Apparel,BrandA,260,1517,394420
2022-01-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1263,366270
2022-02-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1260,365400
2022-03-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1261,365690
2022-04-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1279,370910
2022-05-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1339,388310
2022-06-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1324,383960
2022-07-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1335,387150
2022-08-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1362,394980
2022-09-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1329,385410
2022-10-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1388,402520
2022-11-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1392,403680
2022-12-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1440,417600
2023-01-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1433,415570
2023-02-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1504,436160
2023-03-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1478,428620
2023-04-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1481,429490
2023-05-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1470,426300
2023-06-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1470,426300
2023-07-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1490,432100
2023-08-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1591,461390
2023-09-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1567,454430
2023-10-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1554,450660
2023-11-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1620,469800
2023-12-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1531,443990
2024-01-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1582,458780
2024-02-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1619,469510
2024-03-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1559,452110
2024-04-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1706,494740
2024-05-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1716,497640
2024-06-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1669,484010
2024-07-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1701,493290
2024-08-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1709,495610
2024-09-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1771,513590
2024-10-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1773,514170
2024-11-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1762,510980
2024-12-01,TRD-1004,Steady Trend 4,Apparel,BrandA,290,1852,537080
2022-01-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1367,437440
2022-02-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1403,448960
2022-03-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1452,464640
2022-04-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1463,468160
2022-05-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1491,477120
2022-06-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1482,474240
2022-07-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1539,492480
2022-08-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1551,496320
2022-09-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1568,501760
2022-10-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1560,499200
2022-11-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1607,514240
2022-12-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1564,500480
2023-01-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1658,530560
2023-02-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1634,522880
2023-03-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1658,530560
2023-04-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1601,512320
2023-05-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1619,518080
2023-06-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1641,525120
2023-07-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1752,560640
2023-08-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1706,545920
2023-09-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1705,545600
2023-10-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1759,562880
2023-11-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1682,538240
2023-12-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1881,601920
2024-01-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1861,595520
2024-02-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1818,581760
2024-03-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1829,585280
2024-04-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1874,599680
2024-05-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1885,603200
2024-06-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1899,607680
2024-07-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1901,608320
2024-08-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1943,621760
2024-09-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1946,622720
2024-10-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1941,621120
2024-11-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,1951,624320
2024-12-01,TRD-1005,Steady Trend 5,Apparel,BrandA,320,2026,648320
2022-01-01,SEA-1006,Seasonal Standard 1,Footwear,BrandB,300,1001,300300
2022-02-01,SEA-1006,Seasonal Standard 1,Footwear,BrandB,300,1155,346500
2022-03-01,SEA-1006,Seasonal Standard 1,Footwear,BrandB,300,1256,376800
