year_month,year,month,sku_id,category,qty_sold,promo_flag,promo_store_days,promo_intensity,holiday_days,days_in_month,n_stores,list_price,avg_selling_price
01/01/22,2022,1,SKU0001,BEVERAGES,9066,1,15,0.161,1,31,3,18.7,17.8
01/02/22,2022,2,SKU0001,BEVERAGES,6615,1,2,0.024,1,28,3,18.7,18.57
01/03/22,2022,3,SKU0001,BEVERAGES,8772,1,3,0.032,0,31,3,18.7,18.52
01/04/22,2022,4,SKU0001,BEVERAGES,11596,1,10,0.111,0,30,3,18.7,18.08
01/05/22,2022,5,SKU0001,BEVERAGES,13972,1,13,0.14,1,31,3,18.7,17.92
01/06/22,2022,6,SKU0001,BEVERAGES,15158,1,5,0.056,0,30,3,18.7,18.39
01/07/22,2022,7,SKU0001,BEVERAGES,14399,1,3,0.032,1,31,3,18.7,18.52
01/08/22,2022,8,SKU0001,BEVERAGES,14572,1,8,0.086,0,31,3,18.7,18.22
01/09/22,2022,9,SKU0001,BEVERAGES,9684,0,0,0,0,30,3,18.7,18.7
01/10/22,2022,10,SKU0001,BEVERAGES,11173,0,0,0,1,31,3,18.7,18.7
01/11/22,2022,11,SKU0001,BEVERAGES,9235,0,0,0,1,30,3,18.7,18.7
01/12/22,2022,12,SKU0001,BEVERAGES,8362,0,0,0,1,31,3,18.7,18.7
01/01/23,2023,1,SKU0001,BEVERAGES,8888,1,13,0.14,1,31,3,18.7,17.92
01/02/23,2023,2,SKU0001,BEVERAGES,8020,1,6,0.071,1,28,3,18.7,18.3
01/03/23,2023,3,SKU0001,BEVERAGES,10633,0,0,0,0,31,3,18.7,18.7
01/04/23,2023,4,SKU0001,BEVERAGES,12726,1,1,0.011,0,30,3,18.7,18.64
01/05/23,2023,5,SKU0001,BEVERAGES,15608,1,13,0.14,1,31,3,18.7,17.92
01/06/23,2023,6,SKU0001,BEVERAGES,19630,1,8,0.089,0,30,3,18.7,18.2
01/07/23,2023,7,SKU0001,BEVERAGES,19002,1,15,0.161,1,31,3,18.7,17.8
01/08/23,2023,8,SKU0001,BEVERAGES,18626,1,16,0.172,0,31,3,18.7,17.73
01/09/23,2023,9,SKU0001,BEVERAGES,13169,1,13,0.144,0,30,3,18.7,17.89
01/10/23,2023,10,SKU0001,BEVERAGES,14003,1,20,0.215,1,31,3,18.7,17.49
01/11/23,2023,11,SKU0001,BEVERAGES,13868,1,16,0.178,1,30,3,18.7,17.7
01/12/23,2023,12,SKU0001,BEVERAGES,12634,1,13,0.14,1,31,3,18.7,17.92
01/01/24,2024,1,SKU0001,BEVERAGES,11029,1,16,0.172,1,31,3,18.7,17.73
01/02/24,2024,2,SKU0001,BEVERAGES,10809,1,18,0.207,1,29,3,18.7,17.54
01/03/24,2024,3,SKU0001,BEVERAGES,12740,0,0,0,0,31,3,18.7,18.7
01/04/24,2024,4,SKU0001,BEVERAGES,13486,0,0,0,0,30,3,18.7,18.7
01/05/24,2024,5,SKU0001,BEVERAGES,17931,1,12,0.129,1,31,3,18.7,17.98
01/06/24,2024,6,SKU0001,BEVERAGES,20327,1,2,0.022,0,30,3,18.7,18.58
01/07/24,2024,7,SKU0001,BEVERAGES,20297,1,11,0.118,1,31,3,18.7,18.04
01/08/24,2024,8,SKU0001,BEVERAGES,17450,0,0,0,0,31,3,18.7,18.7
01/09/24,2024,9,SKU0001,BEVERAGES,14649,1,21,0.233,0,30,3,18.7,17.39
01/10/24,2024,10,SKU0001,BEVERAGES,12632,0,0,0,1,31,3,18.7,18.7
01/11/24,2024,11,SKU0001,BEVERAGES,12202,0,0,0,1,30,3,18.7,18.7
01/12/24,2024,12,SKU0001,BEVERAGES,10837,0,0,0,1,31,3,18.7,18.7
01/01/25,2025,1,SKU0001,BEVERAGES,11602,1,7,0.075,1,31,3,18.7,18.28
01/02/25,2025,2,SKU0001,BEVERAGES,10723,1,10,0.119,1,28,3,18.7,18.03
01/03/25,2025,3,SKU0001,BEVERAGES,15117,1,11,0.118,0,31,3,18.7,18.04
01/04/25,2025,4,SKU0001,BEVERAGES,16827,1,10,0.111,0,30,3,18.7,18.08
01/05/25,2025,5,SKU0001,BEVERAGES,22362,1,17,0.183,1,31,3,18.7,17.67
01/06/25,2025,6,SKU0001,BEVERAGES,22379,0,0,0,0,30,3,18.7,18.7
01/07/25,2025,7,SKU0001,BEVERAGES,23309,1,9,0.097,1,31,3,18.7,18.16
01/08/25,2025,8,SKU0001,BEVERAGES,19923,1,5,0.054,0,31,3,18.7,18.4
01/09/25,2025,9,SKU0001,BEVERAGES,15843,1,5,0.056,0,30,3,18.7,18.39
01/10/25,2025,10,SKU0001,BEVERAGES,14895,0,0,0,1,31,3,18.7,18.7
01/11/25,2025,11,SKU0001,BEVERAGES,14496,0,0,0,1,30,3,18.7,18.7
01/12/25,2025,12,SKU0001,BEVERAGES,13714,1,10,0.108,1,31,3,18.7,18.1
01/01/22,2022,1,SKU0002,BEVERAGES,9322,0,0,0,1,31,3,5.17,5.17
01/02/22,2022,2,SKU0002,BEVERAGES,9131,1,8,0.095,1,28,3,5.17,5.02
01/03/22,2022,3,SKU0002,BEVERAGES,13218,1,8,0.086,0,31,3,5.17,5.04
01/04/22,2022,4,SKU0002,BEVERAGES,15109,1,10,0.111,0,30,3,5.17,5
01/05/22,2022,5,SKU0002,BEVERAGES,14643,0,0,0,1,31,3,5.17,5.17
01/06/22,2022,6,SKU0002,BEVERAGES,20809,1,7,0.078,0,30,3,5.17,5.05
01/07/22,2022,7,SKU0002,BEVERAGES,18545,1,1,0.011,1,31,3,5.17,5.15
01/08/22,2022,8,SKU0002,BEVERAGES,15970,0,0,0,0,31,3,5.17,5.17
01/09/22,2022,9,SKU0002,BEVERAGES,12005,1,8,0.089,0,30,3,5.17,5.03
01/10/22,2022,10,SKU0002,BEVERAGES,12109,0,0,0,1,31,3,5.17,5.17
01/11/22,2022,11,SKU0002,BEVERAGES,12211,1,5,0.056,1,30,3,5.17,5.08
01/12/22,2022,12,SKU0002,BEVERAGES,10857,0,0,0,1,31,3,5.17,5.17
01/01/23,2023,1,SKU0002,BEVERAGES,11903,1,17,0.183,1,31,3,5.17,4.89
01/02/23,2023,2,SKU0002,BEVERAGES,10214,1,7,0.083,1,28,3,5.17,5.04
01/03/23,2023,3,SKU0002,BEVERAGES,11328,0,0,0,0,31,3,5.17,5.17
01/04/23,2023,4,SKU0002,BEVERAGES,16707,1,17,0.189,0,30,3,5.17,4.88
01/05/23,2023,5,SKU0002,BEVERAGES,14469,1,5,0.054,1,31,3,5.17,5.09
01/06/23,2023,6,SKU0002,BEVERAGES,21286,1,12,0.133,0,30,3,5.17,4.96
01/07/23,2023,7,SKU0002,BEVERAGES,19974,1,7,0.075,1,31,3,5.17,5.05
01/08/23,2023,8,SKU0002,BEVERAGES,16926,1,4,0.043,0,31,3,5.17,5.1
01/09/23,2023,9,SKU0002,BEVERAGES,11083,0,0,0,0,30,3,5.17,5.17
01/10/23,2023,10,SKU0002,BEVERAGES,11141,0,0,0,1,31,3,5.17,5.17
01/11/23,2023,11,SKU0002,BEVERAGES,11184,0,0,0,1,30,3,5.17,5.17
01/12/23,2023,12,SKU0002,BEVERAGES,11802,1,14,0.151,1,31,3,5.17,4.94
01/01/24,2024,1,SKU0002,BEVERAGES,9668,1,8,0.086,1,31,3,5.17,5.04
01/02/24,2024,2,SKU0002,BEVERAGES,10931,1,15,0.172,1,29,3,5.17,4.9
01/03/24,2024,3,SKU0002,BEVERAGES,11345,0,0,0,0,31,3,5.17,5.17
01/04/24,2024,4,SKU0002,BEVERAGES,12652,0,0,0,0,30,3,5.17,5.17
01/05/24,2024,5,SKU0002,BEVERAGES,16583,1,8,0.086,1,31,3,5.17,5.04
01/06/24,2024,6,SKU0002,BEVERAGES,20532,1,8,0.089,0,30,3,5.17,5.03
01/07/24,2024,7,SKU0002,BEVERAGES,16401,0,0,0,1,31,3,5.17,5.17
