year_month,year,month,store_id,sku_id,category,qty_sold,promo_flag,promo_days,promo_intensity,holiday_days,days_in_month,list_price,avg_selling_price
2022-01-01,2022,1,S01,SKU0001,BEVERAGES,3760,1,12,0.387,1,31,18.7,16.53
2022-01-01,2022,1,S01,SKU0002,BEVERAGES,3121,0,0,0.0,1,31,5.17,5.17
2022-01-01,2022,1,S01,SKU0003,BEVERAGES,1452,1,5,0.161,1,31,15.63,14.87
2022-01-01,2022,1,S01,SKU0004,BEVERAGES,3701,0,0,0.0,1,31,24.29,24.29
2022-01-01,2022,1,S01,SKU0005,BEVERAGES,4125,0,0,0.0,1,31,5.77,5.77
2022-01-01,2022,1,S01,SKU0006,BEVERAGES,1535,0,0,0.0,1,31,13.83,13.83
2022-01-01,2022,1,S01,SKU0007,BEVERAGES,2898,1,5,0.161,1,31,15.88,15.11
2022-01-01,2022,1,S01,SKU0008,BEVERAGES,1314,0,0,0.0,1,31,10.11,10.11
2022-01-01,2022,1,S01,SKU0009,BEVERAGES,2649,0,0,0.0,1,31,6.19,6.19
2022-01-01,2022,1,S01,SKU0010,BEVERAGES,2624,0,0,0.0,1,31,2.59,2.59
2022-01-01,2022,1,S01,SKU0011,GROCERY,4148,1,1,0.032,1,31,3.03,3.0
2022-01-01,2022,1,S01,SKU0012,GROCERY,5508,0,0,0.0,1,31,20.5,20.5
2022-01-01,2022,1,S01,SKU0013,GROCERY,3530,1,11,0.355,1,31,17.58,15.71
2022-01-01,2022,1,S01,SKU0014,GROCERY,3554,0,0,0.0,1,31,13.14,13.14
2022-01-01,2022,1,S01,SKU0015,GROCERY,2195,1,8,0.258,1,31,7.58,6.99
2022-01-01,2022,1,S01,SKU0016,GROCERY,3981,0,0,0.0,1,31,13.72,13.72
2022-01-01,2022,1,S01,SKU0017,GROCERY,4041,0,0,0.0,1,31,24.29,24.29
2022-01-01,2022,1,S01,SKU0018,GROCERY,4568,0,0,0.0,1,31,22.53,22.53
2022-01-01,2022,1,S01,SKU0019,GROCERY,4746,1,7,0.226,1,31,3.58,3.34
2022-01-01,2022,1,S01,SKU0020,GROCERY,2740,1,7,0.226,1,31,9.15,8.53
2022-01-01,2022,1,S01,SKU0021,DAIRY,1629,0,0,0.0,1,31,20.98,20.98
2022-01-01,2022,1,S01,SKU0022,DAIRY,1740,0,0,0.0,1,31,14.25,14.25
2022-01-01,2022,1,S01,SKU0023,DAIRY,1579,1,8,0.258,1,31,3.25,3.0
2022-01-01,2022,1,S01,SKU0024,DAIRY,3358,0,0,0.0,1,31,6.17,6.17
2022-01-01,2022,1,S01,SKU0025,DAIRY,992,1,14,0.452,1,31,18.11,15.66
2022-01-01,2022,1,S01,SKU0026,DAIRY,3270,1,8,0.258,1,31,3.24,2.99
2022-01-01,2022,1,S01,SKU0027,CLEANING,1225,1,7,0.226,1,31,21.78,20.31
2022-01-01,2022,1,S01,SKU0028,CLEANING,1225,0,0,0.0,1,31,2.99,2.99
2022-01-01,2022,1,S01,SKU0029,CLEANING,902,0,0,0.0,1,31,18.65,18.65
2022-01-01,2022,1,S01,SKU0030,CLEANING,1256,0,0,0.0,1,31,12.6,12.6
2022-01-01,2022,1,S01,SKU0031,CLEANING,524,1,1,0.032,1,31,19.38,19.19
2022-01-01,2022,1,S01,SKU0032,CLEANING,1160,0,0,0.0,1,31,13.1,13.1
2022-01-01,2022,1,S01,SKU0033,PERSONAL_CARE,887,0,0,0.0,1,31,2.1,2.1
2022-01-01,2022,1,S01,SKU0034,PERSONAL_CARE,371,0,0,0.0,1,31,16.46,16.46
2022-01-01,2022,1,S01,SKU0035,PERSONAL_CARE,584,0,0,0.0,1,31,22.83,22.83
2022-01-01,2022,1,S01,SKU0036,PERSONAL_CARE,517,0,0,0.0,1,31,19.26,19.26
2022-01-01,2022,1,S01,SKU0037,PERSONAL_CARE,729,1,9,0.29,1,31,8.31,7.59
2022-01-01,2022,1,S01,SKU0038,PERSONAL_CARE,404,0,0,0.0,1,31,20.49,20.49
2022-01-01,2022,1,S01,SKU0039,PERSONAL_CARE,953,0,0,0.0,1,31,20.39,20.39
2022-01-01,2022,1,S01,SKU0040,PERSONAL_CARE,843,1,12,0.387,1,31,14.17,12.52
2022-01-01,2022,1,S02,SKU0001,BEVERAGES,1710,0,0,0.0,1,31,18.7,18.7
2022-01-01,2022,1,S02,SKU0002,BEVERAGES,2148,0,0,0.0,1,31,5.17,5.17
2022-01-01,2022,1,S02,SKU0003,BEVERAGES,838,0,0,0.0,1,31,15.63,15.63
2022-01-01,2022,1,S02,SKU0004,BEVERAGES,2503,0,0,0.0,1,31,24.29,24.29
2022-01-01,2022,1,S02,SKU0005,BEVERAGES,2719,0,0,0.0,1,31,5.77,5.77
2022-01-01,2022,1,S02,SKU0006,BEVERAGES,1100,0,0,0.0,1,31,13.83,13.83
2022-01-01,2022,1,S02,SKU0007,BEVERAGES,1919,0,0,0.0,1,31,15.88,15.88
2022-01-01,2022,1,S02,SKU0008,BEVERAGES,1257,1,2,0.065,1,31,10.11,9.91
